times_thresh_0.01_0.1_level_0.15_0.25
test_head_neck.dcm input 
System:              Dusans-MacBook-Pro.local
Processor:           Intel(R) Core(TM) i5-4278U CPU @ 2.60GHz
    Cache:           32768
    Clock:           2600
    Cores:           2 cpus x 4 Cores = 8
    Virtual Memory:  Total: 3072 Available: 969
    Physical Memory: Total:8192 Available: 359
OSName:              Mac OS X
    Release:         10.11.4
    Version:         15E65
    Platform:        x86_64
    Operating System is 64 bit
ITK Version: 4.9.0
Name Of Probe(Time)           Iteration      Total(s)       Min(s)         Mean(s)        Max(s)         Std(s)         
0.01_0.15                     1              2.9257         2.9257         2.9257         2.9257         0              
0.01_0.16                     1              2.45349        2.45349        2.45349        2.45349        0              
0.01_0.17                     1              2.4893         2.4893         2.4893         2.4893         0              
0.01_0.18                     1              2.56322        2.56322        2.56322        2.56322        0              
0.01_0.19                     1              2.63694        2.63694        2.63694        2.63694        0              
0.01_0.2                      1              2.60113        2.60113        2.60113        2.60113        0              
0.01_0.21                     1              2.60663        2.60663        2.60663        2.60663        0              
0.01_0.22                     1              2.60094        2.60094        2.60094        2.60094        0              
0.01_0.23                     1              2.62909        2.62909        2.62909        2.62909        0              
0.01_0.24                     1              2.67597        2.67597        2.67597        2.67597        0              
0.02_0.15                     1              3.30556        3.30556        3.30556        3.30556        0              
0.02_0.16                     1              3.47605        3.47605        3.47605        3.47605        0              
0.02_0.17                     1              3.34385        3.34385        3.34385        3.34385        0              
0.02_0.18                     1              3.3847         3.3847         3.3847         3.3847         0              
0.02_0.19                     1              3.36394        3.36394        3.36394        3.36394        0              
0.02_0.2                      1              3.34388        3.34388        3.34388        3.34388        0              
0.02_0.21                     1              3.30052        3.30052        3.30052        3.30052        0              
0.02_0.22                     1              3.33567        3.33567        3.33567        3.33567        0              
0.02_0.23                     1              3.32353        3.32353        3.32353        3.32353        0              
0.02_0.24                     1              3.3613         3.3613         3.3613         3.3613         0              
0.03_0.15                     1              2.56569        2.56569        2.56569        2.56569        0              
0.03_0.16                     1              2.55048        2.55048        2.55048        2.55048        0              
0.03_0.17                     1              2.52639        2.52639        2.52639        2.52639        0              
0.03_0.18                     1              2.58229        2.58229        2.58229        2.58229        0              
0.03_0.19                     1              2.63705        2.63705        2.63705        2.63705        0              
0.03_0.2                      1              3.05719        3.05719        3.05719        3.05719        0              
0.03_0.21                     1              2.69104        2.69104        2.69104        2.69104        0              
0.03_0.22                     1              2.75917        2.75917        2.75917        2.75917        0              
0.03_0.23                     1              3.05008        3.05008        3.05008        3.05008        0              
0.03_0.24                     1              2.67247        2.67247        2.67247        2.67247        0              
0.04_0.15                     1              1.80254        1.80254        1.80254        1.80254        0              
0.04_0.16                     1              1.79194        1.79194        1.79194        1.79194        0              
0.04_0.17                     1              1.79299        1.79299        1.79299        1.79299        0              
0.04_0.18                     1              1.92111        1.92111        1.92111        1.92111        0              
0.04_0.19                     1              1.92201        1.92201        1.92201        1.92201        0              
0.04_0.2                      1              1.87288        1.87288        1.87288        1.87288        0              
0.04_0.21                     1              1.86596        1.86596        1.86596        1.86596        0              
0.04_0.22                     1              1.88887        1.88887        1.88887        1.88887        0              
0.04_0.23                     1              1.86948        1.86948        1.86948        1.86948        0              
0.04_0.24                     1              1.92533        1.92533        1.92533        1.92533        0              
0.05_0.15                     1              1.36285        1.36285        1.36285        1.36285        0              
0.05_0.16                     1              1.42423        1.42423        1.42423        1.42423        0              
0.05_0.17                     1              1.43396        1.43396        1.43396        1.43396        0              
0.05_0.18                     1              1.39016        1.39016        1.39016        1.39016        0              
0.05_0.19                     1              1.43323        1.43323        1.43323        1.43323        0              
0.05_0.2                      1              1.41067        1.41067        1.41067        1.41067        0              
0.05_0.21                     1              1.51463        1.51463        1.51463        1.51463        0              
0.05_0.22                     1              1.47295        1.47295        1.47295        1.47295        0              
0.05_0.23                     1              1.53362        1.53362        1.53362        1.53362        0              
0.05_0.24                     1              1.53525        1.53525        1.53525        1.53525        0              
0.06_0.15                     1              1.04953        1.04953        1.04953        1.04953        0              
0.06_0.16                     1              1.07139        1.07139        1.07139        1.07139        0              
0.06_0.17                     1              1.08411        1.08411        1.08411        1.08411        0              
0.06_0.18                     1              1.09084        1.09084        1.09084        1.09084        0              
0.06_0.19                     1              1.07218        1.07218        1.07218        1.07218        0              
0.06_0.2                      1              1.09859        1.09859        1.09859        1.09859        0              
0.06_0.21                     1              1.11105        1.11105        1.11105        1.11105        0              
0.06_0.22                     1              1.15646        1.15646        1.15646        1.15646        0              
0.06_0.23                     1              1.13204        1.13204        1.13204        1.13204        0              
0.06_0.24                     1              1.17225        1.17225        1.17225        1.17225        0              
0.07_0.15                     1              0.944435       0.944435       0.944435       0.944435       0              
0.07_0.16                     1              0.94347        0.94347        0.94347        0.94347        0              
0.07_0.17                     1              0.945248       0.945248       0.945248       0.945248       0              
0.07_0.18                     1              0.956132       0.956132       0.956132       0.956132       0              
0.07_0.19                     1              0.996479       0.996479       0.996479       0.996479       0              
0.07_0.2                      1              0.993936       0.993936       0.993936       0.993936       0              
0.07_0.21                     1              1.01154        1.01154        1.01154        1.01154        0              
0.07_0.22                     1              1.01257        1.01257        1.01257        1.01257        0              
0.07_0.23                     1              1.02467        1.02467        1.02467        1.02467        0              
0.07_0.24                     1              1.04677        1.04677        1.04677        1.04677        0              
0.08_0.15                     1              0.894919       0.894919       0.894919       0.894919       0              
0.08_0.16                     1              0.914829       0.914829       0.914829       0.914829       0              
0.08_0.17                     1              0.931314       0.931314       0.931314       0.931314       0              
0.08_0.18                     1              0.926466       0.926466       0.926466       0.926466       0              
0.08_0.19                     1              0.962961       0.962961       0.962961       0.962961       0              
0.08_0.2                      1              1.00574        1.00574        1.00574        1.00574        0              
0.08_0.21                     1              1.02454        1.02454        1.02454        1.02454        0              
0.08_0.22                     1              1.02541        1.02541        1.02541        1.02541        0              
0.08_0.23                     1              1.05766        1.05766        1.05766        1.05766        0              
0.08_0.24                     1              1.07507        1.07507        1.07507        1.07507        0              
0.09_0.15                     1              0.826035       0.826035       0.826035       0.826035       0              
0.09_0.16                     1              0.863235       0.863235       0.863235       0.863235       0              
0.09_0.17                     1              0.879311       0.879311       0.879311       0.879311       0              
0.09_0.18                     1              0.888901       0.888901       0.888901       0.888901       0              
0.09_0.19                     1              0.924919       0.924919       0.924919       0.924919       0              
0.09_0.2                      1              0.951886       0.951886       0.951886       0.951886       0              
0.09_0.21                     1              0.998406       0.998406       0.998406       0.998406       0              
0.09_0.22                     1              1.00709        1.00709        1.00709        1.00709        0              
0.09_0.23                     1              1.03897        1.03897        1.03897        1.03897        0              
0.09_0.24                     1              1.09709        1.09709        1.09709        1.09709        0              
0.1_0.15                      1              0.821703       0.821703       0.821703       0.821703       0              
0.1_0.16                      1              0.821265       0.821265       0.821265       0.821265       0              
0.1_0.17                      1              0.849689       0.849689       0.849689       0.849689       0              
0.1_0.18                      1              0.860307       0.860307       0.860307       0.860307       0              
0.1_0.19                      1              0.898995       0.898995       0.898995       0.898995       0              
0.1_0.2                       1              0.928836       0.928836       0.928836       0.928836       0              
0.1_0.21                      1              0.975305       0.975305       0.975305       0.975305       0              
0.1_0.22                      1              1.02465        1.02465        1.02465        1.02465        0              
0.1_0.23                      1              1.05094        1.05094        1.05094        1.05094        0              
0.1_0.24                      1              1.09426        1.09426        1.09426        1.09426        0              
