
System:              Dusans-MacBook-Pro.local
Processor:           Intel(R) Core(TM) i5-4278U CPU @ 2.60GHz
    Cache:           32768
    Clock:           2600
    Cores:           2 cpus x 4 Cores = 8
    Virtual Memory:  Total: 3072 Available: 969
    Physical Memory: Total:8192 Available: 330
OSName:              Mac OS X
    Release:         10.11.4
    Version:         15E65
    Platform:        x86_64
    Operating System is 64 bit
ITK Version: 4.9.0
Name Of Probe(Time)           Iteration      Total(s)       Min(s)         Mean(s)        Max(s)         Std(s)         
0.11_0.15                     1              0.802324       0.802324       0.802324       0.802324       0              
0.11_0.16                     1              0.842057       0.842057       0.842057       0.842057       0              
0.11_0.17                     1              0.849113       0.849113       0.849113       0.849113       0              
0.11_0.18                     1              0.878683       0.878683       0.878683       0.878683       0              
0.11_0.19                     1              0.969012       0.969012       0.969012       0.969012       0              
0.11_0.2                      1              0.965628       0.965628       0.965628       0.965628       0              
0.11_0.21                     1              1.00202        1.00202        1.00202        1.00202        0              
0.11_0.22                     1              1.03301        1.03301        1.03301        1.03301        0              
0.11_0.23                     1              1.16973        1.16973        1.16973        1.16973        0              
0.11_0.24                     1              1.15716        1.15716        1.15716        1.15716        0              
0.12_0.15                     1              0.82607        0.82607        0.82607        0.82607        0              
0.12_0.16                     1              0.842679       0.842679       0.842679       0.842679       0              
0.12_0.17                     1              0.869262       0.869262       0.869262       0.869262       0              
0.12_0.18                     1              0.910574       0.910574       0.910574       0.910574       0              
0.12_0.19                     1              0.927374       0.927374       0.927374       0.927374       0              
0.12_0.2                      1              0.985826       0.985826       0.985826       0.985826       0              
0.12_0.21                     1              1.03469        1.03469        1.03469        1.03469        0              
0.12_0.22                     1              1.04889        1.04889        1.04889        1.04889        0              
0.12_0.23                     1              1.1048         1.1048         1.1048         1.1048         0              
0.12_0.24                     1              1.14245        1.14245        1.14245        1.14245        0              
0.13_0.15                     1              0.84165        0.84165        0.84165        0.84165        0              
0.13_0.16                     1              0.861055       0.861055       0.861055       0.861055       0              
0.13_0.17                     1              0.895524       0.895524       0.895524       0.895524       0              
0.13_0.18                     1              0.926652       0.926652       0.926652       0.926652       0              
0.13_0.19                     1              0.964828       0.964828       0.964828       0.964828       0              
0.13_0.2                      1              1.01514        1.01514        1.01514        1.01514        0              
0.13_0.21                     1              1.07107        1.07107        1.07107        1.07107        0              
0.13_0.22                     1              1.10984        1.10984        1.10984        1.10984        0              
0.13_0.23                     1              1.14585        1.14585        1.14585        1.14585        0              
0.13_0.24                     1              1.21531        1.21531        1.21531        1.21531        0              
0.14_0.15                     1              0.853778       0.853778       0.853778       0.853778       0              
0.14_0.16                     1              0.897959       0.897959       0.897959       0.897959       0              
0.14_0.17                     1              0.919704       0.919704       0.919704       0.919704       0              
0.14_0.18                     1              0.980831       0.980831       0.980831       0.980831       0              
0.14_0.19                     1              1.00026        1.00026        1.00026        1.00026        0              
0.14_0.2                      1              1.06889        1.06889        1.06889        1.06889        0              
0.14_0.21                     1              1.07687        1.07687        1.07687        1.07687        0              
0.14_0.22                     1              1.15169        1.15169        1.15169        1.15169        0              
0.14_0.23                     1              1.18391        1.18391        1.18391        1.18391        0              
0.14_0.24                     1              1.23452        1.23452        1.23452        1.23452        0              
0.15_0.15                     1              0.876142       0.876142       0.876142       0.876142       0              
0.15_0.16                     1              0.901964       0.901964       0.901964       0.901964       0              
0.15_0.17                     1              0.959521       0.959521       0.959521       0.959521       0              
0.15_0.18                     1              1.06965        1.06965        1.06965        1.06965        0              
0.15_0.19                     1              1.10006        1.10006        1.10006        1.10006        0              
0.15_0.2                      1              1.20501        1.20501        1.20501        1.20501        0              
0.15_0.21                     1              1.16718        1.16718        1.16718        1.16718        0              
0.15_0.22                     1              1.29841        1.29841        1.29841        1.29841        0              
0.15_0.23                     1              1.2269         1.2269         1.2269         1.2269         0              
0.15_0.24                     1              1.25387        1.25387        1.25387        1.25387        0              
0.16_0.15                     1              0.904573       0.904573       0.904573       0.904573       0              
0.16_0.16                     1              0.954235       0.954235       0.954235       0.954235       0              
0.16_0.17                     1              0.985907       0.985907       0.985907       0.985907       0              
0.16_0.18                     1              1.03548        1.03548        1.03548        1.03548        0              
0.16_0.19                     1              1.07744        1.07744        1.07744        1.07744        0              
0.16_0.2                      1              1.13911        1.13911        1.13911        1.13911        0              
0.16_0.21                     1              1.19695        1.19695        1.19695        1.19695        0              
0.16_0.22                     1              1.2229         1.2229         1.2229         1.2229         0              
0.16_0.23                     1              1.28795        1.28795        1.28795        1.28795        0              
